time_tick,accr_X_value,accr_Y_value,accr_Z_value
16.604393,3.020417,3.882851,0.000000
16.637716,3.023948,3.873964,0.000000
16.671054,3.040368,4.036523,0.000000
16.704390,3.109073,4.032922,0.000000
16.737691,3.031591,3.907839,0.000000
16.771065,3.025622,3.931072,0.000000
16.804393,3.096635,3.958679,0.000000
16.837722,3.058810,3.993057,0.000000
16.871053,3.060182,3.922517,0.000000
16.904395,2.990713,3.928810,0.000000
16.937723,2.999244,3.951916,0.000000
16.971054,3.040402,3.968641,0.000000
17.004388,3.040682,3.944234,0.000000
17.037717,3.032418,3.913945,0.000000
17.071097,3.055552,3.918790,0.000000
17.104393,3.037513,3.948314,0.000000
17.137716,3.036605,3.935474,0.000000
17.171056,3.063400,3.943422,0.000000
17.204382,3.034002,3.934100,0.000000
17.237722,3.035430,3.961107,0.000000
17.271060,3.046898,3.950752,0.000000
17.304396,3.015643,3.929600,0.000000
17.337728,3.008635,3.927933,0.000000
17.371049,2.999496,3.992738,0.000000
17.404427,3.029139,3.980388,0.000000
17.437724,3.047301,3.971123,0.000000
17.471050,3.046085,3.871890,0.000000
17.504393,3.024932,3.952721,0.000000
17.537724,3.061105,4.039897,0.000000
17.571054,3.056262,4.050224,0.000000
17.604396,3.052615,3.969332,0.000000
17.637756,3.042554,3.985372,0.000000
17.671079,3.141134,3.981352,0.000000
17.704396,3.043640,3.899751,0.000000
17.737751,3.048810,3.919852,0.000000
17.771071,3.006415,3.946653,0.000000
17.804405,3.021066,3.985695,0.000000
17.837696,3.056617,4.001386,0.000000
17.871071,3.042547,3.954048,0.000000
17.904409,3.014249,3.919591,0.000000
17.937718,3.035683,3.978102,0.000000
17.971048,3.024222,3.948249,0.000000
18.004393,3.008751,3.965784,0.000000
18.037734,3.065421,3.964600,0.000000
18.071047,3.068652,3.932379,0.000000
18.104389,3.071022,3.936313,0.000000
18.137750,3.058420,3.959806,0.000000
18.171061,3.018225,3.946529,0.000000
18.204399,3.015732,3.944915,0.000000
18.237711,3.031462,3.946866,0.000000
18.271063,3.026271,3.925865,0.000000
18.304389,3.055845,3.939681,0.000000
18.337724,3.042629,3.963028,0.000000
18.371051,3.026735,3.953453,0.000000
18.404393,3.089600,3.971315,0.000000
18.437727,3.036359,3.913297,0.000000
18.471060,3.034699,3.904986,0.000000
18.504382,3.031079,3.973879,0.000000
