Timestamp,Milliseconds,X,Y,Z
2020-01-09 12:00:56,15901,-9.394226,-7.2837524,0.7537384
2020-01-09 12:00:56,16001,-11.057236,-8.580658,1.6510468
2020-01-09 12:00:56,16101,-8.362915,-7.8221436,0.04307556
2020-01-09 12:00:57,16202,-7.286148,-7.903488,1.2107697
2020-01-09 12:00:57,16301,-4.93161,-8.910873,0.40438843
2020-01-09 12:00:57,16401,-4.096512,-9.133408,0.4665985
2020-01-09 12:00:57,16501,-4.5009003,-7.762314,-0.8877411
2020-01-09 12:00:57,16602,-6.398407,-6.776474,-1.4739838
2020-01-09 12:00:57,16701,-9.061615,-5.95813,-5.30011
2020-01-09 12:00:57,16801,-5.551346,-6.47258,-0.13400269
2020-01-09 12:00:57,16902,-6.003586,-7.405792,0.29431152
2020-01-09 12:00:57,17001,-8.169098,-8.405991,0.45224
2020-01-09 12:00:57,17101,-12.10289,-9.066406,1.6175537
2020-01-09 12:00:58,17201,-8.925232,-7.2957153,0.32302856
2020-01-09 12:00:58,17301,-8.334198,-9.724426,0.5742798
2020-01-09 12:00:58,17402,-4.307083,-8.925232,0.7346039
2020-01-09 12:00:58,17501,-4.421936,-6.1615143,1.655838
2020-01-09 12:00:58,17601,-4.9052887,-7.027725,0.48095703
2020-01-09 12:00:58,17702,-9.269791,-6.4031982,-1.1365967
2020-01-09 12:00:58,17801,-11.9808655,-5.8408813,-1.3878326
2020-01-09 12:00:58,17901,-8.906082,-5.206787,-2.141571
2020-01-09 12:00:58,18002,-6.0873413,-5.0512543,0.062210083
2020-01-09 12:00:58,18101,-6.6065826,-6.2524414,-1.1940155
2020-01-09 12:00:59,18201,-8.571091,-5.4795685,-1.179657
2020-01-09 12:00:59,18302,-7.274185,-3.974472,-5.07518
2020-01-09 12:00:59,18401,-8.480164,-8.673981,-4.244873
2020-01-09 12:00:59,18501,-9.119049,-12.507278,-0.19381714
2020-01-09 12:00:59,18602,-5.5417786,-5.379059,2.1990051
2020-01-09 12:00:59,18702,-5.749954,-4.0869446,0.06460571
2020-01-09 12:00:59,18801,-6.867401,-7.1688995,-0.5240326
2020-01-09 12:00:59,18901,-7.350754,-6.867401,-1.6127625
2020-01-09 12:00:59,19001,-10.0785675,-9.205185,-3.0293121
2020-01-09 12:00:59,19102,-10.999802,-8.049454,1.8975067
2020-01-09 12:01:00,19201,-6.0442657,-5.83609,-0.35891724
2020-01-09 12:01:00,19301,-3.390625,-6.2691956,-0.34695435
2020-01-09 12:01:00,19401,-5.30249,-8.133209,1.4069824
