time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
14.884018,0.013338,-0.022197,-0.031745
14.914009,0.029072,-0.003268,-0.026997
14.943996,0.008105,0.021222,-0.023541
14.983985,-0.004834,-0.016713,-0.038717
15.013976,0.020387,-0.013758,-0.039746
15.043968,0.026607,-0.014052,-0.026646
15.083956,-0.008735,-0.010160,-0.009246
15.113947,-0.009131,0.011199,-0.004675
15.143939,-0.027426,0.026949,-0.021867
15.183927,-0.024747,0.016341,-0.012629
15.213919,-0.041527,0.010985,-0.005585
15.243910,-0.024956,0.024055,-0.008815
15.283899,-0.014715,0.034484,-0.014721
15.313890,-0.011776,-0.003243,-0.029905
15.343881,0.021281,-0.028637,-0.035501
15.383870,0.024026,-0.008212,-0.033135
15.413861,0.015640,-0.025251,-0.019905
15.443852,-0.001900,-0.013061,-0.004438
15.483841,0.010987,0.004036,-0.017392
15.513832,0.014037,0.003840,-0.005935
15.543824,-0.000426,-0.015038,-0.000924
15.583812,0.010382,-0.006611,0.008023
15.613803,0.034149,-0.001642,0.018529
15.643795,0.007469,-0.005813,0.005065
15.683783,0.026653,-0.002277,-0.007262
15.713775,0.033168,-0.013240,-0.015119
15.743766,0.015550,-0.028490,0.002241
15.783755,0.007278,-0.011848,0.018782
15.813746,0.018537,-0.009167,0.008799
15.843737,-0.009684,0.012886,0.030117
15.883726,-0.037572,0.000680,0.046777
15.913717,-0.011068,0.002735,0.031060
15.943709,0.022371,0.014768,0.026079
15.983698,-0.014712,-0.003690,0.014865
16.013689,-0.013094,0.006011,0.011716
16.053678,0.042148,0.006814,0.014758
16.083669,-0.001808,-0.005472,0.032149
16.113661,-0.012012,-0.013298,0.033986
16.153649,0.014684,0.021939,0.009270
16.183641,0.017597,0.013271,0.015000
16.213632,-0.006152,0.002478,0.016204
16.253620,0.042641,0.015741,0.010455
16.283612,0.014643,-0.016870,0.010897
16.313603,-0.011467,-0.014510,0.013795
16.353592,0.019615,0.000199,0.010228
16.383583,0.007479,-0.017593,0.017377
16.413574,0.009074,-0.024237,0.041133
16.443566,-0.004417,-0.009814,0.027700
16.483554,0.001420,0.015619,0.034426
16.513546,-0.019802,0.005723,0.027411
16.543535,-0.021717,0.010068,0.007501
16.573526,0.011816,0.025343,0.002263
