Time_stamp,Milliseconds,X,Y,Z,Profile,Activity
1/9/2020 19:06,14.902,-0.2871399,5.7427673,7.984848,AR,sitting
1/9/2020 19:06,15.001,0.26560974,5.395813,8.252853,AR,sitting
1/9/2020 19:06,15.101,0.06939697,5.517853,7.7695007,AR,sitting
1/9/2020 19:06,15.201,0.06700134,5.4340973,8.173889,AR,sitting
1/9/2020 19:06,15.301,0.29670715,5.4604187,8.310272,AR,sitting
1/9/2020 19:06,15.402,0.04547119,5.6638184,8.286346,AR,sitting
1/9/2020 19:06,15.501,0.29910278,5.5322113,8.391632,AR,sitting
1/9/2020 19:06,15.601,0.42114258,5.4604187,7.996811,AR,sitting
1/9/2020 19:06,15.701,0.15074158,5.620743,8.006378,AR,sitting
1/9/2020 19:06,15.801,0.117248535,5.5537415,7.6618195,AR,sitting
1/9/2020 19:06,15.901,-1.0073853,6.376877,7.903488,AR,sitting
1/9/2020 19:06,16.002,-0.17228699,5.848053,8.480164,AR,sitting
1/9/2020 19:06,16.101,-0.21534729,5.790634,8.085342,AR,sitting
1/9/2020 19:06,16.201,-0.23210144,5.6757812,8.190628,AR,sitting
1/9/2020 19:06,16.301,-0.2416687,5.7690887,8.0686035,AR,sitting
1/9/2020 19:06,16.401,-0.26560974,5.79303,7.9202423,AR,sitting
1/9/2020 19:06,16.501,-0.16270447,5.7786713,8.190628,AR,sitting
1/9/2020 19:06,16.602,-0.14117432,5.740387,8.090134,AR,sitting
1/9/2020 19:06,16.701,-0.33499146,5.659027,7.9082794,AR,sitting
1/9/2020 19:06,16.801,-0.18902588,5.757126,8.250458,AR,sitting
1/9/2020 19:06,16.901,-0.32781982,5.7308044,8.013565,AR,sitting
1/9/2020 19:06,17.002,-0.5264282,5.7667084,8.154739,AR,sitting
1/9/2020 19:06,17.101,-0.40438843,5.745163,8.082962,AR,sitting
1/9/2020 19:06,17.202,-0.33259583,5.802597,8.226532,AR,sitting
1/9/2020 19:06,17.301,-0.41635132,5.7068787,8.221741,AR,sitting
1/9/2020 19:06,17.402,-0.33021545,5.8073883,8.152344,AR,sitting
1/9/2020 19:06,17.501,-0.61016846,5.950943,8.159531,AR,sitting
1/9/2020 19:06,17.602,-0.25125122,5.8408813,7.8771667,AR,sitting
1/9/2020 19:06,17.701,-0.19621277,5.8743744,7.7862396,AR,sitting
1/9/2020 19:06,17.802,-0.35653687,5.852844,8.049454,AR,sitting
1/9/2020 19:06,17.901,-0.22013855,5.749954,7.5134583,AR,sitting
1/9/2020 19:06,18.001,-0.32781982,5.797806,8.0733795,AR,sitting
1/9/2020 19:06,18.101,-0.033493042,5.7690887,8.331802,AR,sitting
1/9/2020 19:06,18.201,-0.086135864,5.7092743,8.054245,AR,sitting
1/9/2020 19:06,18.301,-0.023925781,5.687744,8.039886,AR,sitting
1/9/2020 19:06,18.402,-0.24885559,5.761917,8.003998,AR,sitting
1/9/2020 19:06,18.501,-0.33021545,5.79303,8.030319,AR,sitting
1/9/2020 19:06,18.605,0.052642822,5.6973114,8.291138,AR,sitting
1/9/2020 19:06,18.702,0.050247192,5.716461,8.1427765,AR,sitting
1/9/2020 19:06,18.801,0.12921143,5.7188416,8.049454,AR,sitting
1/9/2020 19:06,18.901,-0.06939697,5.6973114,8.063812,AR,sitting
1/9/2020 19:06,19.001,-0.059814453,5.6733856,8.023132,AR,sitting
1/9/2020 19:06,19.102,-0.33021545,5.8911285,8.039886,AR,sitting
1/9/2020 19:06,19.201,-0.110076904,5.7260284,8.109283,AR,sitting
1/9/2020 19:06,19.301,-0.119644165,5.7140656,8.092529,AR,sitting
1/9/2020 19:06,19.402,-0.112457275,5.745163,8.020737,AR,sitting
1/9/2020 19:06,19.501,-0.01914978,5.71167,8.082962,AR,sitting
1/9/2020 19:06,19.601,-0.16749573,5.740387,8.0327,AR,sitting
1/9/2020 19:06,19.702,-0.033493042,5.699707,8.17627,AR,sitting
1/9/2020 19:06,19.801,-0.04067993,5.721237,7.963318,AR,sitting
1/9/2020 19:06,19.901,-0.028717041,5.790634,7.9704895,AR,sitting
1/9/2020 19:06,20.001,-0.1651001,5.7667084,8.372482,AR,sitting
1/9/2020 19:06,20.103,-0.04547119,5.900696,7.963318,AR,sitting
1/9/2020 19:06,20.201,-0.06939697,5.8863373,8.135605,AR,sitting
1/9/2020 19:06,20.301,-0.14596558,5.8073883,7.7982025,AR,sitting
1/9/2020 19:06,20.401,-0.055038452,5.745163,8.147568,AR,sitting
1/9/2020 19:06,20.501,-0.28474426,5.704483,8.054245,AR,sitting
1/9/2020 19:06,20.602,-0.1268158,5.7643127,8.154739,AR,sitting
1/9/2020 19:06,20.701,-0.2416687,5.687744,7.939392,AR,sitting
1/9/2020 19:06,20.802,-0.25125122,5.6781616,8.164307,AR,sitting
1/9/2020 19:06,20.901,-0.0382843,5.642273,8.159531,AR,sitting
1/9/2020 19:06,21.001,-0.093322754,5.6566315,8.092529,AR,sitting
1/9/2020 19:06,21.102,-0.22013855,5.75235,8.240875,AR,sitting
1/9/2020 19:06,21.201,-0.19381714,5.6973114,7.9465637,AR,sitting
1/9/2020 19:06,21.301,-0.2368927,5.7427673,8.207382,AR,sitting
1/9/2020 19:06,21.401,-0.21296692,5.757126,8.219345,AR,sitting
1/9/2020 19:06,21.502,-0.124420166,5.757126,8.111664,AR,sitting
1/9/2020 19:06,21.601,-0.117248535,5.7690887,8.044662,AR,sitting
1/9/2020 19:06,21.701,-0.03111267,5.761917,8.111664,AR,sitting
1/9/2020 19:06,21.802,0.0382843,5.7786713,8.118851,AR,sitting
1/9/2020 19:06,21.902,-0.1531372,5.8002014,8.042282,AR,sitting
1/9/2020 19:06,22.001,0.052642822,5.826523,8.085342,AR,sitting
1/9/2020 19:06,22.101,0.119644165,5.8049927,7.972885,AR,sitting
1/9/2020 19:06,22.201,-0.124420166,5.7140656,8.202591,AR,sitting
1/9/2020 19:06,22.301,-0.3062744,5.81456,8.037491,AR,sitting
1/9/2020 19:06,22.401,-0.112457275,5.785843,8.133209,AR,sitting
1/9/2020 19:06,22.502,-0.00239563,5.6973114,8.099701,AR,sitting
1/9/2020 19:06,22.601,-0.059814453,5.7355957,8.17627,AR,sitting
1/9/2020 19:06,22.701,-0.14117432,5.6685944,8.267197,AR,sitting
1/9/2020 19:06,22.801,-0.028717041,5.75235,7.932205,AR,sitting
1/9/2020 19:06,22.901,-0.06460571,5.723633,7.903488,AR,sitting
1/9/2020 19:06,23.001,-0.22492981,5.7092743,8.128418,AR,sitting
1/9/2020 19:06,23.102,-0.17706299,5.7379913,8.219345,AR,sitting
1/9/2020 19:06,23.201,-0.1651001,5.7379913,7.9585266,AR,sitting
1/9/2020 19:06,23.301,-0.22492981,5.7260284,8.059021,AR,sitting
1/9/2020 19:06,23.401,-0.1531372,5.7140656,8.283951,AR,sitting
