Date_time,X,Y,Z,ts,Profile,Activity
2020-01-09 11:20:14.925,-0.040668,0.003034,0.014042,1578568814,MG,stand
2020-01-09 11:20:15.025,0.011257,0.011201,-0.021288,1578568815,MG,stand
2020-01-09 11:20:15.125,0.052178,0.015843,0.001277,1578568815,MG,stand
2020-01-09 11:20:15.224,0.00829,0.017664,0.032213,1578568815,MG,stand
2020-01-09 11:20:15.325,0.002474,0.027385000000000003,0.00439,1578568815,MG,stand
2020-01-09 11:20:15.425,0.014015,0.034297,-0.041506,1578568815,MG,stand
2020-01-09 11:20:15.525,-0.039715,-0.008084000000000001,0.007595999999999999,1578568815,MG,stand
2020-01-09 11:20:15.624,-0.0015539999999999998,0.050016000000000005,0.032921,1578568815,MG,stand
2020-01-09 11:20:15.724,-0.04882,-0.060153,0.117239,1578568815,MG,stand
2020-01-09 11:20:15.824,0.006869,-0.006167,-0.01534,1578568815,MG,stand
2020-01-09 11:20:15.924,-0.049838,-0.021642,-0.004714,1578568815,MG,stand
2020-01-09 11:20:16.024,-0.103437,-0.016372,0.048558,1578568816,MG,stand
2020-01-09 11:20:16.125,-0.107474,-0.154622,0.083491,1578568816,MG,stand
2020-01-09 11:20:16.224,-0.043202,0.181884,-0.10057,1578568816,MG,stand
2020-01-09 11:20:16.325,-0.32011,0.059033,0.097656,1578568816,MG,stand
2020-01-09 11:20:16.424,-0.19505,-0.212281,0.084333,1578568816,MG,stand
2020-01-09 11:20:16.524,0.086982,-0.071601,-0.049351,1578568816,MG,stand
2020-01-09 11:20:16.624,0.028077,-0.114616,0.100838,1578568816,MG,stand
2020-01-09 11:20:16.724,0.01975,-0.027002,0.06058300000000001,1578568816,MG,stand
2020-01-09 11:20:16.824,-0.049766000000000005,0.03964,-0.027203,1578568816,MG,stand
2020-01-09 11:20:16.924,-0.016807,-0.043822,-0.010041,1578568816,MG,stand
2020-01-09 11:20:17.024,0.103252,0.061432000000000014,-0.077863,1578568817,MG,stand
2020-01-09 11:20:17.124,0.089992,-0.07943,0.092424,1578568817,MG,stand
2020-01-09 11:20:17.224,0.005099,-0.085409,0.033934,1578568817,MG,stand
2020-01-09 11:20:17.324,-0.061227,0.069712,-0.065099,1578568817,MG,stand
2020-01-09 11:20:17.424,-0.052991,0.017506999999999998,-0.017563,1578568817,MG,stand
2020-01-09 11:20:17.524,-0.085628,0.006489,0.014618,1578568817,MG,stand
2020-01-09 11:20:17.624,0.056968,0.048507,-0.009419,1578568817,MG,stand
2020-01-09 11:20:17.724,0.017217,0.026229,0.00426,1578568817,MG,stand
2020-01-09 11:20:17.824,0.098861,0.040419,0.022462,1578568817,MG,stand
2020-01-09 11:20:17.924,0.03111,0.002859,0.028488,1578568817,MG,stand
2020-01-09 11:20:18.024,0.017063,-0.013077000000000002,0.009635,1578568818,MG,stand
2020-01-09 11:20:18.124,0.096234,-0.031799,-0.038259,1578568818,MG,stand
2020-01-09 11:20:18.224,-0.020065,0.021144,0.002673,1578568818,MG,stand
2020-01-09 11:20:18.324,-0.080604,-0.001723,0.023819,1578568818,MG,stand
2020-01-09 11:20:18.424,-0.027965,0.041914,-0.028004,1578568818,MG,stand
2020-01-09 11:20:18.524,0.037224,-0.009902,-0.014247,1578568818,MG,stand
2020-01-09 11:20:18.624,0.044092,-0.014538,0.031004000000000007,1578568818,MG,stand
2020-01-09 11:20:18.724,0.001807,0.017043,0.03509,1578568818,MG,stand
2020-01-09 11:20:18.824,-0.035608999999999995,0.004048,0.024223,1578568818,MG,stand
2020-01-09 11:20:18.924,0.011515,-0.008205,-0.021712,1578568818,MG,stand
2020-01-09 11:20:19.023,0.031388,-0.012123,-0.019581,1578568819,MG,stand
2020-01-09 11:20:19.124,0.017946,0.001644,0.003698,1578568819,MG,stand
2020-01-09 11:20:19.224,-0.004035,0.02759,-0.043351,1578568819,MG,stand
2020-01-09 11:20:19.324,0.017337,0.001765,-0.023136,1578568819,MG,stand
2020-01-09 11:20:19.424,0.010858,-0.053037,0.05807100000000001,1578568819,MG,stand
2020-01-09 11:20:19.524,-0.016422,0.046998000000000005,0.006239,1578568819,MG,stand
