ts,Seconds,X,Y,Z,profile,Activity,
1/8/2020 17:09,0.1,-0.4283142,4.5224304,8.449051,AR,laying,
1/8/2020 17:09,0.1,0.4665985,5.3934174,8.365311,AR,laying,
1/8/2020 17:09,0.1,0.1986084,5.333603,8.5208435,AR,laying,
1/8/2020 17:09,0.101,0.71784973,5.843277,7.733597,AR,laying,
1/8/2020 17:09,0.099,0.1603241,5.7427673,8.202591,AR,laying,
1/8/2020 17:09,0.101,0.8231354,5.819351,7.1234283,AR,laying,
1/8/2020 17:09,0.099,-1.0648041,5.522629,8.489731,AR,laying,
1/8/2020 17:09,0.1,-0.8111725,5.36232,7.274185,AR,laying,
1/8/2020 17:09,0.1,-1.4572296,5.3192444,7.853241,AR,laying,
1/8/2020 17:09,0.1,-0.8949127,5.230713,8.468201,AR,laying,
1/8/2020 17:09,0.1,-0.4905243,5.54895,7.647461,AR,laying,
1/8/2020 17:09,0.101,0.8925171,7.051651,8.0686035,AR,laying,
1/8/2020 17:09,0.099,-0.06460571,5.75235,8.063812,AR,laying,
1/8/2020 17:09,0.1,-0.42591858,6.1160583,8.157135,AR,laying,
1/8/2020 17:09,0.101,-0.36610413,6.0634155,7.6833496,AR,laying,
1/8/2020 17:09,0.099,-0.5120697,6.2668,7.791031,AR,laying,
1/8/2020 17:09,0.1,-0.6388855,6.0538483,7.862808,AR,laying,
1/8/2020 17:09,0.101,-0.27278137,5.946167,7.635498,AR,laying,
1/8/2020 17:09,0.099,0.08135986,5.922241,7.532608,AR,laying,
1/8/2020 17:09,0.1,-0.50727844,5.826523,8.114059,AR,laying,
1/8/2020 17:09,0.101,-1.6917267,6.4654083,7.7192535,AR,laying,
1/8/2020 17:09,0.099,-1.002594,6.0394897,7.7001038,AR,laying,
1/8/2020 17:09,0.1,-1.2586212,6.1423798,7.8388824,AR,laying,
1/8/2020 17:09,0.1,-1.0289154,6.233307,7.5996094,AR,laying,
1/8/2020 17:09,0.101,-1.1581268,6.1782684,7.5517426,AR,laying,
1/8/2020 17:09,0.099,-1.2179413,5.97966,7.836487,AR,laying,
1/8/2020 17:09,0.1,-0.7657013,6.1902313,7.25264,AR,laying,
1/8/2020 17:09,0.101,-1.0863342,6.072983,8.006378,AR,laying,
1/8/2020 17:09,0.099,-0.89730835,6.221344,7.491928,AR,laying,
1/8/2020 17:09,0.101,-1.2012024,6.2069855,7.7192535,AR,laying,
1/8/2020 17:09,0.099,-0.6269226,6.094513,7.491928,AR,laying,
1/8/2020 17:09,0.1,-0.5312042,6.077774,7.7647095,AR,laying,
1/8/2020 17:09,0.1,-0.6652069,5.8911285,7.4775696,AR,laying,
1/8/2020 17:09,0.101,-0.54556274,6.317047,7.8723907,AR,laying,
1/8/2020 17:09,0.1,-0.37806702,5.9030914,8.070984,AR,laying,
